production_employees_private,year,month,value_in_thousands
CES0500000006,2004,M12,90171
CES0500000006,2005,M01,90247
CES0500000006,2005,M02,90498
CES0500000006,2005,M03,90645
CES0500000006,2005,M04,90977
CES0500000006,2005,M05,91092
CES0500000006,2005,M06,91372
CES0500000006,2005,M07,91599
CES0500000006,2005,M08,91790
CES0500000006,2005,M09,91896
CES0500000006,2005,M10,92041
CES0500000006,2005,M11,92359
CES0500000006,2005,M12,92536
CES0500000006,2006,M01,92836
CES0500000006,2006,M02,93119
CES0500000006,2006,M03,93400
CES0500000006,2006,M04,93579
CES0500000006,2006,M05,93655
CES0500000006,2006,M06,93731
CES0500000006,2006,M07,93858
CES0500000006,2006,M08,94006
CES0500000006,2006,M09,94056
CES0500000006,2006,M10,94112
CES0500000006,2006,M11,94275
CES0500000006,2006,M12,94488
CES0500000006,2007,M01,94682
CES0500000006,2007,M02,94716
CES0500000006,2007,M03,94936
CES0500000006,2007,M04,95019
CES0500000006,2007,M05,95200
CES0500000006,2007,M06,95313
CES0500000006,2007,M07,95400
CES0500000006,2007,M08,95328
CES0500000006,2007,M09,95441
CES0500000006,2007,M10,95539
CES0500000006,2007,M11,95610
CES0500000006,2007,M12,95708
CES0500000006,2008,M01,95722
CES0500000006,2008,M02,95636
CES0500000006,2008,M03,95599
CES0500000006,2008,M04,95407
CES0500000006,2008,M05,95216
CES0500000006,2008,M06,95036
CES0500000006,2008,M07,94851
CES0500000006,2008,M08,94609
CES0500000006,2008,M09,94287
CES0500000006,2008,M10,93875
CES0500000006,2008,M11,93183
CES0500000006,2008,M12,92600
CES0500000006,2009,M01,91878
CES0500000006,2009,M02,91286
CES0500000006,2009,M03,90612
CES0500000006,2009,M04,89918
CES0500000006,2009,M05,89693
CES0500000006,2009,M06,89308
CES0500000006,2009,M07,89099
CES0500000006,2009,M08,88937
CES0500000006,2009,M09,88822
CES0500000006,2009,M10,88612
CES0500000006,2009,M11,88615
CES0500000006,2009,M12,88530
CES0500000006,2010,M01,88493
CES0500000006,2010,M02,88426
CES0500000006,2010,M03,88564
CES0500000006,2010,M04,88710
CES0500000006,2010,M05,88772
CES0500000006,2010,M06,88858
CES0500000006,2010,M07,88940
CES0500000006,2010,M08,89049
CES0500000006,2010,M09,89141
CES0500000006,2010,M10,89311
